,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
505,506, sid| 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) ,3,1,1,he withdrawal was unbearable.,35-44,Female
506,507, newlease| 55-64 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,This Rx gave me my life back. No longer on heavy-duty pain patches. There have been no side effects| my pain has decreased significantly & I don't have to worry about getting addicted/harmed by this drug. It's a very low dosage| but effective for my fibro|arthritis & degenerative disk disease.,55-64,Female
507,508, steamer| 55-64 Male  on Treatment for 2 to less than 5 years (Patient) ,3,1,1,I forgot to take my oxys and had a seizure and grossmont hos. put me in a coma for 10 days and when i woke up i was on 16 pills a day of 10mg methadone. I thas ruined my life for 3-4 years and i am now down to 6 a day and always sick. Others on meth sleep from 6-to 6 and me as of now have not sleeped for 2 nights and 3 days and i hope i sleep to nite. I am finnally going to new withdrawel doc after asking for 2 years.When i lost 17pounds in dec it finnally opened her eyes some new doc great now i will find out how to get off the worse drug i ever did and i had been drugs and party for 30 years and work every day now i have been clean and sober for 13 taking all this crap. now I beleave in meds but not methadone. i never sleep and throw up after taking pills and never eat or throw up when done. I have had 5 cans of chicken noodles soup the only ting that stays down sometimes.they say eat eat eat but hey it comes back up. then late like 8pm sometimes i can eat everything with no problem and then i gourge and stays down. I suggest never to get on because side effects have ruined my life every day ovr and over. god bless and good health to all.   steamer  san diego.,55-64,Male
508,509, ldodd005| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I have two three level fusions in my neck and back and osteoarthritus in both legs and knees from broken bones i have taken methadone for 6 years with little side effects and very effective pain relief I am on a fairly high dose and am still happy with my pain management program i walk my dog everyday nice to enjoy little things like that again!!,45-54,Female
509,510, Daniel| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,3,2,5,akes me feel norma,25-34,Male
510,511, carmel214| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,3,4,1,Methadone did not provide the reliable pain relief we wanted it to achieve. The withdrawels are horrible and uncontrolable. Would NEVER use again. Ever!,45-54,Female
511,512, rains49| 35-44 Female  on Treatment for 6 months to less than 1 year (Caregiver) ,5,5,5,know the with draw systems,35-44,Female
512,513, Big &quot;G&quot;| 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) ,3,1,1,w many days does Methadone stay in your system?,35-44,Male
514,515, butch| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I broke my foot & heel my DR.gave me methadone for pa,45-54,Male
515,516, minniemae| 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,his is the only medicine that i have taken that last all day long| and i'm not having to take 15-20 pain pills a day to be at eas,25-34,Female
516,517, ikkiNikki25| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,4,5,5,I have a lot of overall body pain such as| fybromyalgia| scoliosis(both forms)| Hip displacement| degenerative disk| bone and joint disease| early signs of RA and Osteoporosis. I was talking Kadian and a lot of norco and tramadol. I am very happy that I am taking the methadone and am not taking 20-30 pills a day now. For me this medication works as best as it's going to. I don't feel like I am loaded or high all the time anymore and I love that! Although it did take me a few weeks or so for my body and mind to get use to the fact that I don't have to take all of the pills for the pain to be reduced but| once I got passed that I was ok. I also had to get passed the fact that I was taking something that they would give to people that are wanting to get off Heroin but| I got pass that as well. I would recommend this medication for people that have chronic pain and that is going to be on pain medications for the rest of thier life because| it will not damage your liver and or your kidneys like most other pain medications.,25-34,Female
517,518, thelordisawesome| 45-54 Female  on Treatment for less than 1 month (Patient) ,2,4,2,I was giving this after a double cervical fusion about 21 day ago and nothing. I get better results from advil.,45-54,Female
518,519, 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,4,3,3,PAINFUL,45-54,Male
519,520, Jenny| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,4,5,4,I like methadone because for me| taking it gives me no buzz and I feel sober. Can't do that on any other pain med. I've been on it for several years. I have severe chronic pain from spinal problems. It doesn't make all the pain disappear| but it sure helps a lot. You do have to deal with the physical addiction problems if you forget a couple doses in a row. Still| when you get ready to get off it| you can avoid that issue by stepping down gradually.,45-54,Female
520,521, meleme| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,helps with legs pain from back pain that is so bad | that i can function daily. pain management doctor prescribes this at a very minumimal ammt for me as I just don't want to become addicted to meication like this| but she also wants me to be able to walk after my 2 surgerys on my spine.|it does me well.,45-54,Female
521,522, nanny| 55-64 Female  on Treatment for 2 to less than 5 years (Caregiver) ,5,5,5,I have suffered with sever pain in my hips and legs for 20 years. I have taken so many test| so many meds| but not any thing helped and they could not find the cause.|Went to a pain clinic| they put me on this med| it is wonderful to be free of pain.  |I now can be active with my family.|Yes it is addictive| so| laying in bed suffering all the time is not a good life..I am 64 years old| rather enjoy the rest of my life.,55-64,Female
522,523, 35-44 Male  on Treatment for 2 to less than 5 years (Patient) ,5,4,5,Getting doctors all on the same page about this drug and its uses would be nice. its hard whn they dont understand it and think its for heroin addicts. It doesnt have the side effects that oxy's and everything else did.,35-44,Male
523,524, Jose| 55-64 Male  on Treatment for less than 1 month (Patient) ,3,3,3,It has relieved some of my pain. It has also help with the withdrawls symptoms from vicodine.,55-64,Male
524,525, mammabear04| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,4,5,5,hist treatment has worked the best for me so far.,25-34,Female
525,526, gghopeme| 45-54 Female  on Treatment for 1 to 6 months (Patient) ,2,2,2,I am a fibromyalgia pain patient and it did nothing at all for me but made me feel worse than ever.  My boyfriend goes to a clinic and it's a big joke no one seems to be medically trained in how to deal with this medication and patients.  He has had seisuers| and ended in hospital several times| clinic doesn't seem to seriously know how to regulate patients medication and not at all medically professional. ***Go to a real MD*** It might just save your life!!!!,45-54,Female
526,527, Rick| 35-44 Male  on Treatment for 10 years or more (Patient) ,4,3,5,The Best Pain Medicine Available For Nueropathic Pain|Do To Rsd/Crps Etc..It Is A Life Saver For RSD Pain Period! It Has NMDA Antagonizing Propertiws As Well| Gee And It's In-Expensive.They Really Need To Have More Forms Available For PPl That Are Opiate Tolarate! And Have Been On The Medicine For Some Time! As It Was Made For Pain Anyway's !!!!!!!,35-44,Male
527,528, krandy| 45-54 Male  on Treatment for 10 years or more (Patient) ,5,5,5,I think methadone has gotten a bad rap from most health officials. If you mix this with other types of street drugs or stronger binzos such as xanax|valuim|atavan|they are at a higher risk of death. You can't blame the pill you must look in the mirror and put the blame on yourself by over doing your dose.Methadone has a 24 hour half life and when used like your Dr. prescribed| you have nothing to worry about. I know because this drug saved my life 12 years ago and I still take the correct dose that is prescribed for my pain. No other drug worked for me but methadone. I have had several back & leg surgeries and methadone still keeps me where I can fuction normally without severe pain.,45-54,Male
528,529, nativejac| 45-54 Female  on Treatment for less than 1 month (Patient) ,4,4,4,have found that it has really helped me alot with my fibro pain.i had been trying for a long time to get on something long lasting that would work and this does so i am happy with it.,45-54,Female
529,530, missy| 35-44 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,am 100 percent for methadone i take 20mg a day and it has worked getter than any other pain med. i have tak,35-44,Female
530,531, jeanne| 55-64 Female  on Treatment for 2 to less than 5 years (Patient) ,3,3,3,In the beginning helped with not having to take different meds for pain. example| fioricet for headaches| vicoden for chronic pain| etc. Still works for pain| but i'm not sure what it is doing to my body. I have interstitial cystitis. Terrible pain. The Methadone does nothing to touch this!|I need to speak-up more| about pain control ..I was on 10 mg. 3x daily| ...now down to 2x daily..Now I know I need to go back up to 3 a day.|Please avocate & speak up to drs. about your body| remember you pay their salary..|I absolutely love dr. Oz| For this reason...he advocates speaking up| Don't expect your dr. to know how you feel & you are not communicating with him| or her| Because your afraid you are keeping Him to long. That is me. NO MORE!,55-64,Female
531,532, Need Help | 35-44 Female  on Treatment for 2 to less than 5 years,5,5,5,I am using methadone to come off of pain meds| by self medicating. WRONG answer. Yes| i have been pain killers free since May 2007 but my new addiction is the methadone! Now the clinic will not take me because i have methadone in my system!! I want to be drug free so how did i get myself in this mess?! I feel normal at 100 mg. per day. Can someone PLEASE give me a bit of advice? Thank You SOOOO Much.,35-44,Female
535,536, [email protected]| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,5,4,4,I think this drug has saved my life it also has saved many others,45-54,Male
536,537, eddie13| 45-54 Male  on Treatment for 10 years or more (Patient) ,4,4,4,"have been off heroin for past 10 years | thanks to methadone. It work in my case| because I want it to work| but at the same time| methadone is highly addictive drug in itself.|Withdrowl simptoms are way stronger and much more painful than heroin withdrawls. Also| if a heroin user suddenly deside to go ""cold turkey"" and just stop using heroin...| in a matter of 4-5 days he/she are pretty much ok.  |If you deside to use methadone ( no matter whats the reason ) remember that the longer you stay on it| the harder it'll be to get off it.",45-54,Male
538,539, elena| 55-64 Female  on Treatment for less than 1 month (Caregiver) ,1,1,1,would like to know if narcotic addiction could mean that a person who has been addicted to crack cocaine| would use of methadone to help get off crack cocaine? please answer and write to [email protected] ||Thank you||Elena Mar,55-64,Female
539,540, kk| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,4,5,4,"I am using this med for pain associated with fibromyalgia. I have tried ALL the other pain meds and they did nothing. The warnings makes you a little afraid to use it| but I take 3- 10 mgs morning and night and my pain is actually managible. It doesn't make me ""high"" or ""loaded"" so am able to be somewhat productive on good days. Fibromyalgia still has more bad days than good| but the good is much easier with the methadone.",45-54,Female
540,541, MDDOMES| 25-34 Male  on Treatment for 1 to 6 months (Patient) ,5,2,5,THIS MED. WORKS GREAT FOR PEOPLE WHO ARE GETTING OFF HIGH DOSES OF OXY ROXIE AND HERION. ITS THE BEST THING THAT EVER HAPPEN TO ME DRUG RELATED I HIGHLY RECOMEND IT TO PEOPLE TRYIN LIKE HELL TO GET OFF OPIATES,25-34,Male
541,542, skeeter| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,3,3,1,I am reducing my methadone treatment and having sweats chills kicking I'm on 10mg is there anything I can do I don't want to fail at my trea,35-44,Female
542,543, lisas daughter| 25-34 Female  on Treatment for 1 to less than 2 years (Caregiver) ,4,3,2,y mom has been taking methadone for a meth and pain pill addiction for 12 months now but she has gained 70 pounds and is swelling unbelievably in he legs feet and ankles had ne one else experienced this plz let me know i am worryed for her,25-34,Female
543,544, CAT| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I HAVE BEEN ON THE SAME AMOUNT OF THIS MEDICINE FOR ALMOST 8 YEARS. BEFORE BEING PRESCRIBED| I WAS IN SO MUCH PAIN FROM  FIBRO|NEUROPATHIES| BACK SURGERIES ETC. I WAS AND AM SO RELIEVED MY DR. PUT ME ON THIS. MY BRAIN FINALLY HAD A CHANCE TO THINK OF SOMETHING OTHER THAN MY PAIN. I CANNOT EVEN RELATE TO THE OTHER PERSON WHO SAID THAT THEY FELT ON CLOUD NINE! I FEEL  NOTHING AT ALL EUPHORIC OR ANY OTHER FEELING SUCH AS MIND ALTERING. THE ONLY THING I FEEL| IS WAY LESS PAIN| WHICH IS WHY I REALLY LIKE THIS MEDICATION FOR PAIN CHOICE| BECAUSE YOU DO NOT| I REPEAT| AT LEAST I DO NOT FEEL LIKE I AM ON ANYTHING AT ALL! MAYBE THE PERSON WHO SAID THAT| COULD HAVE BEEN HAVING SOME KIND OF REACTION TO THE XANAX COMBINATION? AS I STATED| FOR EIGHT YEARS| WE HAVE NEVER HAD TO INCREASE MY DOSAGE. I WAS NOT JUST HANDED THIS| HOWEVER. I AM GRATEFUL THAT MY DR.. CARED ENOUGH TO PUT ME THROUGH PSYCHOLOGICAL TESTING ETC. AS I AM SURE IN THE WRONG HANDS IT COULD BE DEADLY.  BUT IF YOU ARE CONSIDERING IT AS A CHOICE FOR PAIN MANAGEMENT| I WOULD LIKE TO KNOW THAT IT HAS WORKED FOR ME WONDERFUL| WITH NO SIDE EFFECTS EXCEPT FOR TIREDNESS.,45-54,Female
544,545, Marlene| 19-24 Female  on Treatment for 1 to 6 months (Caregiver) ,2,3,3,akes the person feel likeshe is floating on a cloud with no pain at all. But she is also mixing them with xanax.,19-24,Female
545,546, Laura| 65-74 Male  on Treatment for 5 to less than 10 years (Caregiver) ,3,3,4,What are the side effects when you come off the drug?,65-74,Male
546,547, jean| 35-44 Female  on Treatment for 5 to less than 10 years (Patient) ,3,4,2,hadone is hard to get off of and stopped working for pain. I was taking 3-40 mlg a day|im down to 6-10 mlg a day.Methadone is harder to quit then heroin.,35-44,Female
548,549, ejune762| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,3,5,4,I have taken this one before the withdraw from it is really bad. bends| bad headache| feel sick for a few weeks then nothing else will work for pain not even morphine.,45-54,Female
549,550, dennie| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,4,4,4,have horrible pain from lower lumbar stenosis i take 10mg ever 4 hours i have taken methadone for 2 years i write down when i take it dont mix it with any other drugs and i survive.,45-54,Female
550,551, donnabell1969| 35-44 Female  on Treatment for 1 to 6 months (Patient) ,3,3,2,ausea vomiting hair loss fainting breathing problems,35-44,Female
551,552, 25-34 Female  on Treatment for 1 to less than 2 years (Patient) ,4,5,4,I get headaches to server migraines everyday. I have consistent back and shoulder pain. It has been a huge help with my pain in all areas. when your 27 years of age and your body hurts all the time I needed something to help me be able to live somewhat of a non painful life. Methadone was a life saver.,25-34,Female
552,553, barb| 45-54 Female  on Treatment for less than 1 month (Patient) ,5,5,3,helps with pain. however| side effects are terrible. headachs|nausea|dizziness.,45-54,Female
554,555, angelinapelmero| 45-54 Female  on Treatment for 10 years or more (Patient) ,5,3,4,ke the side effects,45-54,Female
555,556, 19-24 Male  on Treatment for 1 to 6 months,5,2,5,It kept me off the streets!,19-24,Male
556,557, drolson528| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,4,5,4,I have been on the medication for nine years due to back surgeries and problems. I feel it eases the pain enough to maintain some sort of existence. I worry about the long term effects on my liver| but the methadone is allowing my body to make it through each day. I basically do not feel any side affects from taking methadone| only if I DO NOT take any methadone. I make sure I take the prescribed amount each day. Threre IS a stigma to taking methadone| hopefully more and more people will become aware that it is used for pain control as well as for opiate addiction.,45-54,Male
558,559, rowlandbridgett| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,4,5,4,I was prescribed Methadone For pain. It has worked very well for the pain| But the problem with Methadone is the stigma| an the Doctors. The reaction is quickly that your are a Drug addict. What mean is that I had moved from my home town and started looking for a doctor had many problems| and the Withdrawals from this medication is Very Very Sever. so make sure you have a good doctor and take as proscribed and you will be fine.,35-44,Female
559,560, Rare1| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,4,2,3,I have Bi lateral Trigeminal Neuralgia| this medication worked well to control the facial pain strikes| I had to be on a very high dosage| and I am now off of them because my tolerance got to high.  I would highly suggest anyone with Trigeminal Neuralgia talk to thier doctor about trying Methadone.  Hope this helps someone somewhere with this aweful condition|,45-54,Female
562,563, [email protected]| 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) ,4,5,4,great for pain control|but very hard to kick,35-44,Male
563,564, nanna3663| 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) ,3,5,4,beginning this medication took sometime to get used to as it gave me light headedness| dizziness| and blurred vission. I followed the instructions| like laying very still for one to two hours before moveing around after first takeing the medication| until getting used to the medication. Now methadone seems to releive the pain by up to 70 to 80% better than most pain medications. Along with my Dr.'s combination of meds I am now on my way to a much more productive life style.,45-54,Female
564,565, jay| 35-44 Male  on Treatment for 10 years or more (Patient) ,5,5,5,works very well for my pain it seems to come on siow but it lasts very long when it gets built up in your system.,35-44,Male
565,566, Gonzo| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,3,5,4,"I've been on Methadone for about 4 years. My dose is small but was working fairly decent untill the past 6 months. I think I need a increese in meds. It used to be great| almost all my pain could be controled on this. I didn't feel high like I did on MS Cotin| I could think clearly on Methadone. I clearly recomend it to anyone going through cronic pain.. For those who want the ""high"" feeling| sorry all it did for me was help with pain.",45-54,Male
566,567, ivylee52| 19-24 Female  on Treatment for 2 to less than 5 years (Patient) ,3,3,3,'m quitting the use of methadone. how long does it stay in your system  as i quit it.,19-24,Female
567,568, blueoystrny69| 35-44 Male  on Treatment for 1 to 6 months (Patient) ,3,4,3,feel that the liquid burns through too fast. I usually dose at around 6 a.m. by 3-6 pm i already feel that the effects have worn off mainly any pain reducing effects. I also am not able to sleep properly. I wake up every 1 and a half to 2 hours like clockwork. Have pain in feet and knees and all joints,35-44,Male
568,569, JoeKamel23| 19-24 Male  on Treatment for 1 to 6 months (Patient) ,5,5,5,I have been addicted to narcotics for many years now| and after several different treatments and even a stint in prison| I finally found something that seems to work for me. I've found that it blocks my cravings for opiates as well as aleviates my withdrawl symptoms. I strongly encourage anyone who is struggling with drug abuse to look into methadone treatment. I feel as if I will actually be able to get my life going and keep it going this time.,19-24,Male
569,570, KayeDoudunne| 45-54 Female  on Treatment for less than 1 month (Patient) ,2,2,2,an anyone tell me what your standard dose of Methadone 10 MG HCL was during the initial treatment for opiate withdrawals.  I do not think my dosage is high enough but will not increase without a doctors approval.,45-54,Female
570,571, foxinessonmethadone| 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) ,5,1,2,was addicted to opiates and my husband thought it was a good idea to go to the methadone clinic.  i was drowsy for the next couple weekws after that | but then i noticed i could take care of my baby more and more everyday.  the only problem is that you have to be there everyday and they do have to see you| a conselor twice a month and they count your benzos; a complete invasion of privacy so i couldn't drive or take the bus to the clinic and decided to detox the best thing to do is to get off all drugs if you are serious and want to do it.  methadone isnt nothing to deal with detoxing easily| i feel like my skin is turned inside out and all i want to do is sleep| but hopefully this will pass so i can continue where i left off with my family.,25-34,Female
571,572, mamac| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,3,5,4,I have been on methadone 10mg three times daily for over 5 years now.  It is the dead of winter| and my pain level is through the roof.  I wonder that I may need and increae| because prior to this| it worked just fine.  I have not abused to misused| and really thought it was fabulous. But| now after 5 years at  only 30 mg daily| I am wondering if it is even effective any longer.,35-44,Female
572,573, the4kings| 35-44 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have used this medicine for 2 years and I have never felt better.  I get so much relief in my back pain that I can actually live my life! After 2 back surgeries that failed this is my only option and its working. I would recommend this to anyone with cronic pain! Talk to your Dr and see how it works for you.,35-44,Female
573,574, 35-44 Male  on Treatment for 6 months to less than 1 year (Patient) ,4,5,3,Does well for pain|but extremely addictive!,35-44,Male
574,575, wawaa| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,5,5,5,his drug has helped get my life back and I know alot of people have bad rhings to say about this med but I t has made a believer out of,35-44,Female
575,576, methadone oral| 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,3,5,3,have used methadone for nine years as |for pain control 80mg p.d. .. the effect of the med drop down after the third year of use .. as in a buzz .. afterwards u don't feel the effect of the meth .. u just know it's there .. the pain starts to return .. recently i drop dosage bye 10 mg. and still same affects and plan to drop 10 mg. start of new year .. if pain returns shall request doctor to change meds .. six years without pain relief | aritihis|  osteoprociris| joint an disc L1 L2 no disc .. causing joint to joint chronic pain .. with underlying mental depression .. b/p 78/46 .. vary's 69/42 .. could this be the methadone or the propranonol er 60mg .. the doctor's in this area are a complete joke .. walmart degree .. haha .. no insurance nor medicare even tho federally granted disability ..pay as u go plan .. it sad when this country turns u away when DISABLE WITH NO MEDICARE INSURANCE ..,55-64,Male
576,577, MIC| 45-54 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,THIS MED HAS A BAD RAP WITH THE GENERAL PUBLIC DUE TO WHAT IT WAS 1ST USED FOR | HERION ADDICTION. PEOPLE NEED TO KNOW ITS OTHER USES AND BENIEFITS AND COMPARRISONS WITHOTHER MED USED TO TREAT CHRONIC PAIN FOR A LONG TERM .,45-54,Male
578,579, Rick| 35-44 Male  on Treatment for 10 years or more (Patient) ,5,4,5,The Best Treatment|Thusfar For Complex Regional Pain Syndrome.I Believe Due To NMDA Antagonistic Properties Preventing The Glia Attaching To Pain Receptor Sites|Why They Took The 40Mg.Tab From The Pharmacies I'll Never Understand|Not Only That There Also Finding It To Slow The Growth Of Cancerous Tumors !,35-44,Male
579,580, chris| 55-64 Male  on Treatment for less than 1 month (Patient) ,3,3,3,It helped after about a week.,55-64,Male
580,581, NpainNalabama| 45-54 Male  on Treatment for 6 months to less than 1 year (Patient) ,5,5,5,I found that taking one dose per day is alot easier than having to take doses every 4-6 hrs. Even though it takes a little longer to take effect| the pain relief is more effective and the duration is much longer.,45-54,Male
581,582, jayge| 55-64 Female  on Treatment for 6 months to less than 1 year (Patient) ,4,5,4,I have fibromyalgia| degenerative disk disease and joint problems in my shoulders plus colitis and I have been on everything from ultram to morphine to hydromorphone and fentanyl patches. I take 10 mg 4 times a day and have hydromorphone for breakthru pain.  I like about methadone is how long it lasts| it does not give me the ups and down wearing off and waiting until next dose.  For this reason| I am really satisfied with it.  'also it has pretty good pain relief propertys.  I don't expect to be pain free as my doc said that will never happen but I can keep around 4/10 on pain and that is good enough.  Some people equate this med with you being an addict but some of us do take it for pain relief.,55-64,Female
582,583, michele| 55-64 Female  on Treatment for 10 years or more (Patient) ,5,5,5,The methadone has kept me off drugs for thirty years.,55-64,Female
583,584, murph998| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,2,5,3,I have been taking Methadone (5 10ml tabs) for 4 yrs for back pain. I take it in conjunction with (4) 80ml Oxycontin. While I have not experienced the level of pain relief that others describe I do find that it seems to increase the effectiveness of the Oxycontin. I do not have the ups and downs I used to have with the Oxycontin alone. That in alone is worth it.,45-54,Male
584,585, dfritts1963| 45-54 Female  on Treatment for 1 to less than 2 years (Patient) ,3,2,2,This medication causes confusion| disillusionment and severe drowsiness and alot of other unpleasent side effects.|,45-54,Female
585,586, rkessler| 25-34 Female  on Treatment for 6 months to less than 1 year (Patient) ,4,1,4,first started in april| now i am not complying because of a paper o won't sign so the clinical directer is putting me on a 14 day detox and i'm on 130 mg. I am scared to death because i have a 1 year old baby and i'm a single mom. i have been trying to get info on what the next couple weeks are going to mbe like but i never had a response from anyone| so please respond back to me at [email protected],25-34,Female
586,587, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,5,3,4,I want to detox off of methadone but am scared to death of the physical detox effects. I've been on 110mg/day for 16 months. Others say its worse than opiate withdrawal. Can someone please comment here and tell me what to expect physically and what is the best time frame to detox in order to avoid the worst of the physical effects?  I am a 42 year old female. They say that gender makes a difference as well.,35-44,Female
587,588, 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,5,3,4,I began taking methadone 16 months ago due to severe long-term addiction to oxycontin. During active addiction I was diagnosed with MS and now have chronic headaches due to herniations and bulging of disks in my neck on top of nerve endings that feel like they are on FIRE! Methadone has been a blessing in helping me with my addiction and relieving ALOT of the pain. However| my heartbeat has slowed and there is evidence of arrythmia. I am finally settled on a dose and have just stopped taking benzos (another no no for those on methadone). My question to the readers of this post is| based on my pain relief and getting through the addiction issues. What would you think of my continuing treatment given the heart problem?  Since being weaned off of the benzos and other depression meds| my heartbeat averages @ 60 bpm at age 42 with some signs of arryhthmia. My heart rate fell to an average of 42 bpm 5 months ago with all of the other  meds on top of methadone. Given all of this| has anyone else had the same problems and what should I do?  I'd like to continue use but the heart thing scares me even though it is coming back to normal. I'm tired of addiction and tired of pain. Methadone works well for both and neither my cardiologist or neurologist have suggested discontinuation of this med at this time. What would any of you recommend?  Serious answers only.,35-44,Female
588,589, kgeorgiagirl| 35-44 Female  on Treatment for less than 1 month (Patient) ,4,5,4,I have only been taking Methadone for a couple of weeks| but it has helped my pain tremendously. I have 5 herniated discs in my lower back and don't want to have surgery. If taken the way it is prescribed it will help the pain.,35-44,Female
590,591, pugs| 35-44 Female  on Treatment for 1 to less than 2 years (Patient) ,2,5,3,y takes away some of the pain and in a very big difrent way than norc,35-44,Female
591,592, busterbrown| 45-54 Male  on Treatment for 10 years or more (Patient) ,3,5,4,asy method of treatment|it makes me function slower.,45-54,Male
592,593, Janetmae7| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,3,4,3,My back has so many differentf things wrong| this is the only drug that stops the severe suffering.  I've had surgeries| been on all the other pain meds and patches| I take 30 mg. 4 times daily along with 2 Percocet 10 for breakthrough pain.  I've been on methadone for 9 years through a pain Dr. This drug has its goods and bads.  If I had my choice and there was something else to take that would keep my pain to a minumum as this does| I would definately change.  I'm not saying this drug is not good for pain| its all the side effects that come along with it| especially when your on 360 pills a month. Side effects are not pleasant.  Severe constipation| sweating| severe sleepiness| personality changes| severe| severe withdrawal symptoms. I was also put on Adderall due to sleeping 12-14 hrs a day and not being able to drive without falling asleep.  It works but be careful.,45-54,Female
593,594, Janet| 65-74 Female  on Treatment for 2 to less than 5 years (Patient) ,4,5,4,I have seen a big difference in my pain but I've noticed I get very tired and can fall asleep in a heart beat. Is this normal?|Thank you||Ja,65-74,Female
595,596, Found hope | 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I had never used drugs in my life .I broke my back at work and was given many diff. pain meds along with having surgery.I had no clue that i was becoming addicited to the pain meds until my ex-husband stold all of my meds . to make a long story short I did what ever i could find to make the pain and sickness go away.I did seek help ayear later and found myself at a clinic I take 50 mg and those of you that are on high doses ur chasing a high and not looking to get help.If you stick with a low dose it helps with the pain and the sickness .Its a great way to get help if help is really what your looking for .I wish all that are helping themselfs the best of luck and the addicits still out their I pray God help you ...because it's only a matter of time before you DIE!!,25-34,Female
596,597, linor1| 65-74 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,since using Methadone for pain control I have had a high degree of normal activities. It's a blessing for me| as I have endured Severe chronic pain for over 35 yeas|I see a pain mgt Dr. once a month and have done so for the past 7 years. I prefer using the generic| named Roxanne.  It's much more effective than the other generics.,65-74,Female
597,598, 35-44 Female  on Treatment for 6 months to less than 1 year (Patient) ,4,4,4,"rst off it is affordable for people with no insurance coverage compared to other pain medications I have had before. As far as the effects of Methadone it works GREAT for reducing my arthritis pain. The other thing I really noticed was that it did not make me feel what I would call ""High or Loopy"" like some of the other pain meds I have taken. Percocet always made me feel like I was in a fog. So over all I think it is a great option for pain relief.",35-44,Female
598,599, methadone| 65-74 Male  on Treatment for 1 to less than 2 years (Caregiver) ,1,1,1,I would like to know if other drugs can be taken with this| i have a son and hes on methodone| i think he may be using other drugs with it.,65-74,Male
599,600, dragon| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,I have taken drug for 3years for severe back pain works very well. side effect constipation easily treated with miralax,45-54,Male
600,601, ikes| 25-34 Male  on Treatment for 5 to less than 10 years (Patient) ,5,4,5,veri have bad bake pain i have been roofing for 10 years i have tried other medications and they dont work as good.,25-34,Male
601,602, pain medication| 45-54 Male  on Treatment for 1 to 6 months (Patient) ,3,4,5,back pa,45-54,Male
602,603, no more pain| 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,I have been on pain meds for twenty plus years started with perks and got to a point were I never had enough pills found methadode and it gave me back a normal life or very close to it. i lost my arm in boating accident and suffer from nerve damage and fanthom pain it never goes away but can control it now. people are afraid of the name but it works| greatest pain med on market would surjest it to anyone with chronic pain. One of he advantages is the long acting oof the dose your not always taking pills once or twice a day will get you through  I hope you are as satified with this med as i am we all know pain |s_cks,55-64,Male
605,606, john| 25-34 Male  on Treatment for 1 to 6 months (Patient) ,5,5,5,I had back surgery| 2 titanium rods put in my back with 3 screws each and it didn't help my back. I have 4 herniated discs and the rest of my back is getting worse. After percocet| oxycontin| fentanyl patches| oxi IR| and many muscle relaxers pain kept getting worse. My Dr. now has me on methadone| 20mg every 6 hours| that's 8  10 mg methadone pills a day and I work for a living and my pain is down to about a 2. It works the best it's great. Does anyone think it's too much mehadone to be on? Thank You all good luck with your pain management.,25-34,Male
